controlno,Title,Author,Callno,Accession,Copyright
101007153720,Towards the restructuring of Filipino values,"Crisol, Jose M.",179 C932,296,[19 - ?]
101007160009,The philosophy of William James,"James, William",180 J29,20853,[19 - ?]
101507094745,The religions of man,"Smith, Huston",290 S649,20170,[19 - ?]
100507143256,Enthusiasm makes the difference,"Peale, Norman Vincent",153.1533 P358,33378,[19 -?}
100207150530,Helping the body in its work,"Andress, Mace J.",128.6 A552,573,1939
100207150644,A sound body,"Charter, W. W.",128 C486,424,1943
100207145516,The price of freedom,"Alejandro, Jose",123.5 A366,17,1949
101007101507,Being teenagers,"Neugarten, Bernice L.",155.65 N484,28,1950
101007112739,The science of correct thinking logic,"Bittle, Celestine N.",160 B624,20467,1950
101107080141,Dialogues of Plato,"Kaplan, J. D.",184 K17,1672,1951
101107081200,The age of reason,"Hampshire, Stuart",190 H231,5716,1956
101107080727,The age of ideology,"Aiken, Henry D.",189 A291,5784,1956
101007112414,Introduction to logic,"Bachhuber, Andrew H.",160 B122,20470,1957
101007112414,Introduction to logic,"Bachhuber, Andrew H.",160 B122,20469,1957
101007112414,Introduction to logic,"Bachhuber, Andrew H.",160 B122,1323,1957
101007112414,Introduction to logic,"Bachhuber, Andrew H.",160 B122,10543,1957
101007112414,Introduction to logic,"Bachhuber, Andrew H.",160 B122,10542,1957
100507153940,Are you listening?,"Nichols, Ralph G.",153.68 N621,19259A,1957
101007112414,Introduction to logic,"Bachhuber, Andrew H.",160 B122,33992,1957
100507153940,Are you listening?,"Nichols, Ralph G.",153.68 N621,19259,1957
100907135421,Developmental psychology,"Hurlock, Elizabeth B.",155 H965 2E,5650,1959
100507143501,Synetics,"Gordon, William J. J.",153.35 G665,33382,1961
100507152552,The national manager,"Kepner, Charles H.",153.43 K38,19561,1965
100507152552,The national manager,"Kepner, Charles H.",153.43 K38,19577,1965
100507152552,The national manager,"Kepner, Charles H.",153.43 K38,19562,1965
100907150628,The science of handwriting analysis,"Rosen, Billie Pesin",155.282 R813,1427,1965
101007145136,Principles of business ethics,"Angeles, Conrado P.",174.4 A581 P,20613-A,1966
101007093053,Growth and development of the preadolescent,"Blair, Arthur Witt",155.5 B635,5743,1966
100407150721,Psychology of Filipinos,"Varis - De Guzman, Jovita",150 V299,33350,1966
100207150441,The politics of experience,"Laing, R. D.",128.4 L187,539,1967
100207141251,Philosophy made simple,"Popkin, Richard H.",102 P828,742A,1967
100407092357,Psychology made simple,"Sperling, Abraham P.",150 S749,5763,1967
100407161556,Principles of behavioral analysis,"Millenson, J. R.",150.1943 M646,18669,1967
100507075733,Human memory,"Adams, Jack A.",153.12 A214,7680,1967
100207160331,From Linda Goodman''s sun signs cancer June 22nd through July 23rd,"Goodman, Linda",133.5264 G653,31554,1968
101007142505,Ethics,"Glenn, Paul J.",170 G558,331,1968
100907161523,An approach to child psychology,"Natividad - Magiba, Zenaida",155.4 N278,5697,1968
100207162646,Escape from reason,"Schaeffer, Francis A.",147.4 S294,30708,1968
100407163352,The psychology of perception,"Vernon, M. D.",152.1 V542,32308,1968
101007142505,Ethics,"Glenn, Paul J.",170 G558,10545,1968
101007142505,Ethics,"Glenn, Paul J.",170 G558,33907,1968
100507160049,Piaget''''s theory of intellectual development,"Ginsburg, Herbert",153.9 G493,18694,1969
100407155836,Handbook for living psychology,"Hershey, Gerald L.",150.1 H572,18652,1970
101107081949,"""Herbert Marcuse an contemporary society""","Quito, Emerita S.",190 Q8,31140,1970
100207143935,Readings in ancient western Philosophy,"McLean, George",108 M163,8002,1970
100407161802,Readings in behavior,"Notterman, Joseph M.",150.1943 N915,8004,1970
100907142612,Interpreting personality theories,"Bischof, Ledford J.",155.2 B621,19552,1970
100907140935,Developmental psychology,"Nash, John",155 N251,8016,1970
100107163340,Exploring philosophy,"French, Peter A.",101 F875,8078,1970
101007144322,Toward a new humanism,"Braisted, Paul J.",171.2 B814,20310,1970
100507080227,The nature and conditions of learning,"Garry, Ralph",153.15 G243,8053,1970
101007101854,Comparative psychology,"Denny, M. Ray",156 D412,8125,1970
100407082653,Research in psychology,"Kintz, B. L.",150 K56,8146,1970
101007102624,Life in the modern world,"Link, Mark J.",158.2 L756,34334,1970
100907145602,Personality and human relation,"Sferra, Adam",155.2 S522,32271,1971
100507080858,"Child learning, intelligence, and personality","Staats, Arthur W.",153.15 S775,8153,1971
100307104215,Introduction to psychology,"Hilgard, Ernest R.",150 H644,5622,1971
100907145602,Personality and human relation,"Sferra, Adam",155.2 S522,19514,1971
100207142305,Philosophy,"Randall, John Herman Jr.",102 R188,1334,1971
100907145602,Personality and human relation,"Sferra, Adam",155.2 S522,19840,1971
100907145602,Personality and human relation,"Sferra, Adam",155.2 S522,19841,1971
100307104215,Introduction to psychology,"Hilgard, Ernest R.",150 H644,5621,1971
100207145101,The geography of faith,"Berrigan, Daniel",121.7 B533,33336,1971
100507075449,Understanding Piaget,"Droz, Remy",153 D793,19191,1972
100507080554,Concept learning,"Martorella, Peter H.",153.15 M387,8048,1972
100507075449,Understanding Piaget,"Droz, Remy",153 D793,19192,1972
100407083103,Woodworth and Schlosberg's experimental psychology,"Kling, J. W.",150 K65,8007,1972
100507075449,Understanding Piaget,"Droz, Remy",153 D793,19193,1972
101007084336,Child development,"Schmidt, W. H. O.",155.4 S354,18886,1973
101007084336,Child development,"Schmidt, W. H. O.",155.4 S354,18887,1973
101007140144,Fundamental logic,"Piñon, Manuel T.",160 P657,30398,1973
101007154137,Four readings on Philippine values,"Lynch, Frank",179 L987,30385,1973
100407090917,Psychology,"Sartain, Aaron Quinn",150 S249,18086,1973
100407085421,Psychology in action,"McKinney, Fred",150 M158,18554,1973
100407090917,Psychology,"Sartain, Aaron Quinn",150 S249,18087,1973
100207161702,Pilgrims of the starts,"Roy, Dilip Kumar",142.7 R888,10495,1973
100507154715,The techniques of getting thins done,"Laird, Ronald A.",153.8 L188,4,1974
100407085236,Human behavior,"Lewis, Robert T.",150 L675,10760,1974
100907140534,The growth of human behavior,"Munn, Norman L.",155 M966,7907,1974
100907140534,The growth of human behavior,"Munn, Norman L.",155 M966,7906,1974
100907143713,Autoconditioning,"Hart, Hornell",155.2 H325,19045,1974
100907145859,Psychology of personality,"Stagner, Ross",155.2 S779,8099,1974
100907140534,The growth of human behavior,"Munn, Norman L.",155 M966,7905,1974
100907140534,The growth of human behavior,"Munn, Norman L.",155 M966,7904,1974
101107080017,Plates republic,"Grube, G. M. A.",184 G885,31979,1974
101007102215,Winning through intimidation,"Ringer, Robert J.",158 R581,31471,1974
100907140534,The growth of human behavior,"Munn, Norman L.",155 M966,7908,1974
100407085236,Human behavior,"Lewis, Robert T.",150 L675,10759,1974
100207153139,The search for the girl with the blue eyes,"Stearn, Jess",133 S799,8025,1975
100907135659,Developmental psychology,"Hurlock, Elizabeth B.",155 H965 4E,18885A,1975
100207161842,Pragmatism as humanism,"Dooley, Patrick Kiaran",144.3 D691,10366,1975
100907135659,Developmental psychology,"Hurlock, Elizabeth B.",155 H965 4E,18884,1975
100907135659,Developmental psychology,"Hurlock, Elizabeth B.",155 H965 4E,18882,1975
101007093235,Adolescence today,"Matteson, David R.",155.5 M435,5712,1975
100207161842,Pragmatism as humanism,"Dooley, Patrick Kiaran",144.3 D691,10367,1975
100907135659,Developmental psychology,"Hurlock, Elizabeth B.",155 H965 4E,18883,1975
100507160305,How to increase your intelligence,"Wenger, Win",153.9 W479,18574,1975
100907150027,Programmed learning aid for assessment of personality,"Draguns, Juris G.",155.28 D759,7857,1975
100507160501,Selection and assessment at work,"Jessup, Gilbert",153.93 J58,33290,1975
100307104331,General psychology,"Kahayon, Alicia H.",150 K12 75E,9264,1975
101007105345,Boss psychology,"Vance, Charles C.",158.7 V222,182562,1975
101007105345,Boss psychology,"Vance, Charles C.",158.7 V222,18411,1975
100407091215,Introductory psychology,"Scroth, Marvin L.",150 S382,7776,1975
100407091215,Introductory psychology,"Scroth, Marvin L.",150 S382,7704,1975
100407091215,Introductory psychology,"Scroth, Marvin L.",150 S382,7703,1975
100407160149,Programmed learning aid for thinking and conceptual behavior,"Van Rijn, Paul P.",150.1 V274,7849,1975
101107082538,Action knowledge and reality,"Castañeda, Hector Nerl",191 C346,18636,1975
100407160149,Programmed learning aid for thinking and conceptual behavior,"Van Rijn, Paul P.",150.1 V274,7850,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,10260,1975
100507074844,Programmed learning aid for emotion,"Plutchik, Robert",152.4 P737,20392,1975
100907150027,Programmed learning aid for assessment of personality,"Draguns, Juris G.",155.28 D759,7856,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,10254,1975
101007105345,Boss psychology,"Vance, Charles C.",158.7 V222,182561,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,18339,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,10761,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,10261,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,10255,1975
100507075831,Human memory,"Klatzky, Roberta L.",153.12 K63,10257,1975
100307104331,General psychology,"Kahayon, Alicia H.",150 K12 75E,33738,1975
100407162113,Physiological psychology,"Blundell, John",150.198 B658,32310,1975
100407154216,Psychology,"Bourne, Lyle E.",150.1 B775,32903C1,1976
100507154340,Studies in perception,"Murch, Gerald M.",153.75 M973,18642,1976
100907150919,Masculinity and feminity,"Miller, Benjamin F.",155.332 M647,31288,1976
100207145319,Man,"Andres, Tomas Quintin D.",121.8 A561,19071,1976
100207145319,Man,"Andres, Tomas Quintin D.",121.8 A561,19070,1976
100507154340,Studies in perception,"Murch, Gerald M.",153.75 M973,18641,1976
100907155113,Child psychology for nurser,"Estolas, Josefina V.",155.4 E81,5595,1976
101007140514,Elementary logic,"Simco, Nancy D.",160 S588,30181,1976
101007140514,Elementary logic,"Simco, Nancy D.",160 S588,30182,1976
101007140514,Elementary logic,"Simco, Nancy D.",160 S588,30183,1976
101007140514,Elementary logic,"Simco, Nancy D.",160 S588,30184,1976
101007140514,Elementary logic,"Simco, Nancy D.",160 S588,30185,1976
100407085758,Introduction to psychology,"Marx, Melvin H.",150 M392,18547,1976
101007145729,A code of ethics for business,Bishops - BCHDP,174.4 B622,20278,1977
100907160125,Child and adolescent development,"Manning, Sidney A.",155.4 M284,8155,1977
100207140928,Applied Filipino philosophy,"Mercado, Leonardo N.",102 M553,33678,1977
100207143004,Philosophy for a new generation,"Bierman, A. K.",108 B588,18645,1977
101007152255,Beyond charity,"Sommer, John G.",177.7 S697,19270,1977
101007152255,Beyond charity,"Sommer, John G.",177.7 S697,19271,1977
101107154728,The ten commandments,"Meredith, Roderick C.",241.52 M558,1084,1977
101007145729,A code of ethics for business,Bishops - BCHDP,174.4 B622,20276,1977
101107081333,A Nietzsche reader,"Hollingdale, R. J.",190 H741,31526,1977
101007145729,A code of ethics for business,Bishops - BCHDP,174.4 B622,20277,1977
100307101519,Introductory psychology,"Berent, Stanley",150 B489,18544,1977
100507154228,Illusions,"Back, Richard",153.74 B124,30953,1977
101007142246,An introduction to ethics,"Dewey, Robert E.",170 D519,31852,1977
101007084524,Child growth and development,"Siruno, Rufino S.",155.4 S621,7650,1978
100907083556,Natural sleep,"Goldberg, Philip",154.6 G618,30948,1978
101007102937,Human relations,"Scott, Lawrence S.",158.2 S427,19065,1978
100907141055,Human development,"Papalia, Diane E.",155 P213,8056,1978
101007134029,Logic and logical thinking,"Facione, Peter A.",160 F141,18001,1978
101007134029,Logic and logical thinking,"Facione, Peter A.",160 F141,18337,1978
100407091554,Psychology,"Silverman, Robert E.",150 S587,18788,1978
101007102937,Human relations,"Scott, Lawrence S.",158.2 S427,19290,1978
100907155932,Child development,"Hurlock, Elizabeth B.",155.4 H965,7649,1978
100207160654,Llewellyn''s personal guide and astrological almanac for 1979,"Bytheriver, Marylee",133.5275 B998,5772,1978
101007084524,Child growth and development,"Siruno, Rufino S.",155.4 S621,32052,1978
101007102937,Human relations,"Scott, Lawrence S.",158.2 S427,19291,1978
101007084524,Child growth and development,"Siruno, Rufino S.",155.4 S621,32039,1978
101007084524,Child growth and development,"Siruno, Rufino S.",155.4 S621,30884,1978
101007084524,Child growth and development,"Siruno, Rufino S.",155.4 S621,30883,1978
100407091554,Psychology,"Silverman, Robert E.",150 S587,18789,1978
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,10555,1979
100207150205,Origins of the mind,"Furst, Charles",128.2 F991,18965,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,18826,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,18825,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,18824,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,10556,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,10554,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,10408,1979
100307101630,Introduction to general psychology,College Level Examination Program,150 C697 RM,18414,1979
100307101630,Introduction to general psychology,College Level Examination Program,150 C697 RM,18413,1979
101007105154,Psychology applied to business and industry,"Sanchez, Custodiosa Ancheta",158.7 S211,18018,1979
101007135510,Logic and language,"Heil, John",160 H466,18786,1979
100507144025,Practical thinking,"De Bono, Edward",153.42 D287,32986,1979
101007101159,The adolescent passage,"Twiford, Rainer",155.5 T972,18904,1980
100907140226,Developmental pscyhology,"Hurlock, Elizabeth B.",155 H965 5E,18844,1980
100907140226,Developmental pscyhology,"Hurlock, Elizabeth B.",155 H965 5E,18885,1980
100907140226,Developmental pscyhology,"Hurlock, Elizabeth B.",155 H965 5E,32273,1980
100907140226,Developmental pscyhology,"Hurlock, Elizabeth B.",155 H965 5E,32674,1980
100907151450,the developing child,"Brisbane, Holly E.",155.4 B859,31303,1980
100907151126,The psychopathology,"Al-Issa, Ihsan",155.333 A414,19110,1980
100907151126,The psychopathology,"Al-Issa, Ihsan",155.333 A414,18900,1980
100907151126,The psychopathology,"Al-Issa, Ihsan",155.333 A414,18899,1980
101007104705,Industrial psychology,"McCormick, Ernest J.",158.7 M131,19574,1980
101007104705,Industrial psychology,"McCormick, Ernest J.",158.7 M131,19575,1980
101107145728,Reconciliations,"Rubin, Theodore Isaac",234.5 R896,32327,1980
101007145949,Business ethics,"Garrett, Thomas M.",174.4 G239,18816,1980
101007155410,The kingship of self-control,"Jordan, William George",179.9 J82,30554,1980
100507075126,The power of right thought,"Wilcox, Ella Wheeler",152.4 W836 B,30555,1980
101007101159,The adolescent passage,"Twiford, Rainer",155.5 T972,18903,1980
100207162445,Disciplines and the man,"Ledesma, Consuelo P.",145 D612,452,1981
100207162445,Disciplines and the man,"Ledesma, Consuelo P.",145 D612,309,1981
100207162445,Disciplines and the man,"Ledesma, Consuelo P.",145 D612,311,1981
101007145014,Principles of business ethics,"Angeles, Conrado P.",174.4 A581 B,18815,1981
100207162445,Disciplines and the man,"Ledesma, Consuelo P.",145 D612,33270,1981
101007150217,Philippine business ethics,"Gorospe, Alejandro R.",174.4 G672 81E,18699,1981
101007151854,The art of friendship,"Leefeldt, Christine",177.62 L484,18875,1981
101007150217,Philippine business ethics,"Gorospe, Alejandro R.",174.4 G672 81E,18700,1981
100307104043,Understanding psychology,"Hassett, James",150 H355,31201,1981
101007133338,Introduction to logic,"Copi, Irving M.",160 C784,3128,1982
100507080339,Psychomotor learning,"Kerr, Robert",153.15,31689,1982
101007152006,The art of loving,"Fromm, Erich",177.7 F932,33291,1982
100207152813,The reality of reincarnation,"Guru, Jagad",129 G981,30576,1982
101007133541,Introduction to logic,"Cruz, Corazon L.",160 R957 RE,30006,1983
101007151716,Danger,"Paramahansa, Siddhaswarupananda",176.7 P222,30583,1983
101007143644,Ethics the science and art of life,"Montemayor, Felix M.",170 M777 SA,19478,1983
100507144434,The negative power of positive thinking,"Kramer, Edward L.",153.42 K89,30556,1983
100507143630,"Stories, scripts and scenes","Mandler, Jean Matter",153.4 M271,33278,1984
100207160844,Sydney Omarr''s day to day astrological guide for Pisces (February 19 - March 20) 1985,"Omarr, Sydney",133.5277 O54,31181,1984
101007142139,Contemporary ethics,"Cruz, Corazon L.",170 C957,30553,1984
100207145625,Will the real me please stand up? (So we can all get to know you!),"Powell, John",126 P884,32626,1985
